ratio,media,source,jobs,recordsize,mode,iters,source_bytes,elapsed_ms,write_bw_mib_s,cpu_active_pct,cpu_system_pct,cpu_iowait_pct,cpu_active_s_per_gib_calc,compressratio,qat_byte_share_pct_calc,comp_requests_delta,comp_in_delta,dc_fails_delta,sha_ok,effective_level,effective_hufftype,effective_min_buf,effective_max_buf,stamp
high,nvme,mixed,8,512K,qat,2,1610612736.0,2362.33,650.2850000000001,5.886516,5.779999999999999,1.8,5.9331811593728006,1.96,100.16276041666667,6154.0,3226468352.0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,mixed,8,512K,sw,2,1610612736.0,1962.4945,782.865,39.792837,47.465,1.1,33.31977546747584,1.96,0.0,0,0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,mixed,8,1M,qat,2,1610612736.0,2506.3895,612.835,6.234483,5.75,1.835,6.66711156442816,1.96,100.52083333333333,3088.0,3238002688.0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,mixed,8,1M,sw,2,1610612736.0,1869.254,821.72,41.0963195,51.435,1.045,32.776302767211945,1.96,0.0,0,0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,random,1,128K,qat,2,201326592.0,640.238,300.13,3.914228,1.715,1.43,8.553941354714455,1.0,100.0,3072.0,402653184.0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,random,1,128K,sw,2,201326592.0,706.918,271.625,52.001803499999994,21.535,0.775,125.47758396283905,1.0,0.0,0,0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,random,1,512K,qat,2,201326592.0,721.7835,266.065,3.5532665,1.3900000000000001,1.8,8.75413889980672,1.0,100.0,768.0,402653184.0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,random,1,512K,sw,2,201326592.0,704.1030000000001,272.68499999999995,52.7894615,21.925,0.925,126.87093149195778,1.0,0.0,0,0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,random,1,1M,qat,2,201326592.0,740.8005,259.185,2.9077444999999997,1.12,1.83,7.35251995126528,1.0,100.0,384.0,402653184.0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,random,1,1M,sw,2,201326592.0,712.2405,269.575,53.3146545,21.91,1.12,129.61401575563008,1.0,0.0,0,0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,random,4,128K,qat,2,805306368.0,1490.9695000000002,515.1099999999999,3.8224895,2.96,2.165,4.863330353979947,1.0,100.0,12288.0,1610612736.0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,random,4,128K,sw,2,805306368.0,1538.6615000000002,503.45,58.5410405,45.115,0.545,76.86386789315478,1.0,0.0,0,0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,random,4,512K,qat,2,805306368.0,1854.6565,414.1,3.331207,2.075,2.255,5.2721021571374935,1.0,100.0,3072.0,1610612736.0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,random,4,512K,sw,2,805306368.0,1434.433,535.41,63.9551265,52.224999999999994,0.075,78.28424018839425,1.0,0.0,0,0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,random,4,1M,qat,2,805306368.0,1877.135,409.135,3.443632,2.0999999999999996,2.425,5.516085038353066,1.0,100.0,1536.0,1610612736.0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,random,4,1M,sw,2,805306368.0,1409.8935000000001,544.8299999999999,64.522392,53.595,0.99,77.62747825941504,1.0,0.0,0,0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,random,8,128K,qat,2,1610612736.0,2469.6594999999998,622.0150000000001,4.3111375,4.01,2.455,4.542737784610666,1.0,100.04069010416667,24586.0,3222536192.0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,random,8,128K,sw,2,1610612736.0,2377.8995,646.5799999999999,61.680255,60.769999999999996,0.995,62.5789642770656,1.0,0.0,0,0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,random,8,512K,qat,2,1610612736.0,3213.3405000000002,478.02,3.928325,2.795,2.6100000000000003,5.3858328830560005,1.0,100.244140625,6159.0,3229089792.0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,random,8,512K,sw,2,1610612736.0,2379.044,645.665,65.2314265,64.205,0.575,66.21373176587349,1.0,0.0,0,0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,random,8,1M,qat,2,1610612736.0,3270.3395,469.71,3.5152335,2.455,2.7649999999999997,4.90496297248992,1.0,100.390625,3084.0,3233808384.0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,random,8,1M,sw,2,1610612736.0,2323.6215,661.08,65.3297975,65.815,0.72,64.7687347463024,1.0,0.0,0,0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,tiff,1,128K,qat,2,191346108.0,563.0125,324.485,3.9755825,1.935,0.38,8.038574077209539,17.11,100.00993592197862,2920.0,382730240.0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,tiff,1,128K,sw,2,191346108.0,552.221,330.53,9.6927785,4.83,0.15500000000000003,19.22301112356442,16.86,0.0,0,0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,tiff,1,512K,qat,2,191346108.0,511.6365,356.685,2.940683,1.57,0.41000000000000003,5.403435119186794,24.9,100.00993592197862,730.0,382730240.0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,tiff,1,512K,sw,2,191346108.0,523.633,348.5,9.3382615,4.935,0.18,17.561162059421083,24.42,0.0,0,0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,tiff,1,1M,qat,2,191346108.0,518.6534999999999,351.855,3.4071274999999996,1.725,0.6699999999999999,6.346377618317048,25.45,100.2839357464224,366.0,383778816.0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,tiff,1,1M,sw,2,191346108.0,523.9375,348.31,9.474804500000001,4.99,0.485,17.828300762222305,25.17,0.0,0,0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,tiff,4,128K,qat,2,765384432.0,827.263,882.395,3.7242645,4.949999999999999,0.74,2.7662048435900153,17.16,100.00993592197862,11680.0,1530920960.0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,tiff,4,128K,sw,2,765384432.0,779.2515,937.31,11.0259685,15.64,0.245,7.71426606968602,16.9,0.0,0,0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,tiff,4,512K,qat,2,765384432.0,838.1990000000001,870.86,3.248011,4.244999999999999,0.8300000000000001,2.44435820488804,24.99,100.00993592197862,2920.0,1530920960.0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,tiff,4,512K,sw,2,765384432.0,756.685,964.655,11.3307985,16.535,0.09999999999999999,7.697963734999282,24.51,0.0,0,0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,tiff,4,1M,qat,2,765384432.0,800.9815,911.3499999999999,3.178496,4.34,0.905,2.285832347177099,25.555,100.2839357464224,1464.0,1535115264.0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,tiff,4,1M,sw,2,765384432.0,715.8534999999999,1019.9250000000001,10.964142,16.979999999999997,0.25,7.046914849546045,25.26,0.0,0,0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,tiff,8,128K,qat,2,1530768864.0,963.713,1514.835,4.1164385,9.375,0.99,1.7809001590001454,17.16,100.06559213631876,23373.0,3063545856.0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,tiff,8,128K,sw,2,1530768864.0,849.3765,1722.565,11.7929455,30.810000000000002,0.22,4.496688010769774,16.91,0.0,0,0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,tiff,8,512K,qat,2,1530768864.0,978.519,1491.955,3.4083315,7.59,1.18,1.497205159373574,25.01,100.21543579031145,5852.0,3068133376.0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,tiff,8,512K,sw,2,1530768864.0,827.3699999999999,1764.8899999999999,11.3807315,30.5,0.255,4.2270771149959385,24.52,0.0,0,0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,tiff,8,1M,qat,2,1530768864.0,946.6415,1542.415,3.4634679999999998,7.98,1.125,1.4718614914928074,25.575,100.83193539530994,2944.0,3087007744.0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
high,nvme,tiff,8,1M,sw,2,1530768864.0,875.9784999999999,1667.145,11.977791,30.325,0.43,4.710211426436504,25.28,0.0,0,0,0,yes,4,dynamic,8192,1048576,20260524T090352Z
low,hdd,mixed,1,128K,qat,2,201326592.0,1306.5035,147.115,35.9379435,8.02,2.525,160.26640713575168,1.88,0.0,0,0,0,yes,1,static,524288,1048576,20260524T083200Z
low,hdd,mixed,1,128K,sw,2,201326592.0,1233.8719999999998,155.71,35.297585,8.365,2.3150000000000004,148.6598888076629,1.88,0.0,0,0,0,yes,1,static,524288,1048576,20260524T083200Z
low,hdd,mixed,1,512K,qat,2,201326592.0,1335.5369999999998,143.96,6.60661,1.415,2.485,30.117110099865595,1.85,100.0,768.0,402653184.0,0,yes,1,static,524288,1048576,20260524T083200Z
low,hdd,mixed,1,512K,sw,2,201326592.0,1173.161,163.66000000000003,35.7400385,8.885000000000002,1.6,143.11703656686421,1.96,0.0,0,0,0,yes,1,static,524288,1048576,20260524T083200Z
low,hdd,mixed,1,1M,qat,2,201326592.0,1390.365,138.12,5.9824044999999995,1.24,2.56,28.391170842086396,1.86,100.0,384.0,402653184.0,0,yes,1,static,524288,1048576,20260524T083200Z
low,hdd,mixed,1,1M,sw,2,201326592.0,1179.591,162.84,35.111523000000005,8.705,1.46,141.37083401247745,1.96,0.0,0,0,0,yes,1,static,524288,1048576,20260524T083200Z
low,hdd,mixed,4,128K,qat,2,805306368.0,3255.1055,236.27,40.492626,14.555,3.6500000000000004,112.47596339374337,1.88,0.0,0,0,0,yes,1,static,524288,1048576,20260524T083200Z
low,hdd,mixed,4,128K,sw,2,805306368.0,3442.935,223.19,40.281663,13.684999999999999,3.77,118.3463657821056,1.88,0.0,0,0,0,yes,1,static,524288,1048576,20260524T083200Z
low,hdd,mixed,4,512K,qat,2,805306368.0,3129.922,245.375,6.957190000000001,2.58,3.82,18.581727606766936,1.85,100.0,3072.0,1610612736.0,0,yes,1,static,524288,1048576,20260524T083200Z
low,hdd,mixed,4,512K,sw,2,805306368.0,2972.751,258.385,41.428182,16.3,3.2,105.09283794660865,1.96,0.0,0,0,0,yes,1,static,524288,1048576,20260524T083200Z
