ratio,media,source,jobs,recordsize,qat_ms,sw_ms,qat_vs_sw_pct,qat_cpu_s_per_gib,sw_cpu_s_per_gib,cpu_s_per_gib_delta_pct,qat_share_pct,compressratio_qat,compressratio_sw,dc_fails_delta,sha_ok,effective_level,effective_hufftype,effective_min_buf,effective_max_buf,stamp
low,nvme,tiff,1,128K,564.355,548.0060000000001,2.983361496042001,18.60440614525303,18.240821304074604,1.993248193803691,0.0,16.86,16.86,0,yes,1,static,524288,1048576,20260524T083200Z
low,nvme,tiff,1,1M,533.988,509.0825,4.892232594913413,5.695530642473681,17.587928557991333,-67.61681954930484,100.2839357464224,21.74,25.17,0,yes,1,static,524288,1048576,20260524T083200Z
low,nvme,tiff,1,512K,529.2615000000001,511.067,3.5601007304326164,6.067951523497718,16.53906734377868,-63.311404462112954,100.00993592197862,20.34,24.42,0,yes,1,static,524288,1048576,20260524T083200Z
low,nvme,tiff,4,128K,756.8040000000001,750.5550000000001,0.8325838879229401,7.69303481465476,7.567785962050035,1.6550263608511993,0.0,16.9,16.9,0,yes,1,static,524288,1048576,20260524T083200Z
low,nvme,tiff,4,1M,774.865,712.8045,8.706524720312519,2.348889909210111,7.017903126299134,-66.53003230540759,100.2839357464224,21.81,25.26,0,yes,1,static,524288,1048576,20260524T083200Z
low,nvme,tiff,4,512K,809.1855,744.4480000000001,8.696040556224203,2.5099732056654873,7.01986843330384,-64.24472581626162,100.00993592197862,20.4,24.51,0,yes,1,static,524288,1048576,20260524T083200Z
low,nvme,tiff,8,128K,841.5989999999999,1073.4885,-21.60148897729226,4.411791417017069,6.9910795403460515,-36.893989096300714,0.0,16.91,16.91,0,yes,1,static,524288,1048576,20260524T083200Z
low,nvme,tiff,8,1M,1125.9525,1157.963,-2.764380209039483,2.432334571972688,8.370677592037582,-70.94220216668731,100.72918546114353,21.83,25.28,0,yes,1,static,524288,1048576,20260524T083200Z
low,nvme,tiff,8,512K,1045.624,992.0765,5.397517227754111,1.9213996079654958,6.165470837957966,-68.83612527795407,100.2839357464224,20.4,24.52,0,yes,1,static,524288,1048576,20260524T083200Z
medium,hdd,mixed,1,128K,1225.922,1229.529,-0.29336436960819723,147.5234473630515,154.3392891470797,-4.41614174957937,0.0,1.88,1.88,0,yes,1,dynamic,524288,524288,20260524T084754Z
medium,hdd,mixed,1,1M,1176.574,1158.0935,1.5957692535188326,134.5477988571375,135.42576152936533,-0.648298124605671,0.0,1.96,1.96,0,yes,1,dynamic,524288,524288,20260524T084754Z
medium,hdd,mixed,1,512K,1350.721,1185.4340000000002,13.943163432126948,28.991081392090454,142.0134404395179,-79.5856777341878,100.0,1.96,1.96,0,yes,1,dynamic,524288,524288,20260524T084754Z
medium,hdd,mixed,4,128K,3259.0705,3370.1065,-3.294732673878409,116.42087724528574,121.08953053595498,-3.855538352494465,0.0,1.88,1.88,0,yes,1,dynamic,524288,524288,20260524T084754Z
medium,hdd,mixed,4,1M,2912.94,2899.9485,0.4479907143178607,96.6532470386688,100.91742581922047,-4.225413743896279,0.0,1.96,1.96,0,yes,1,dynamic,524288,524288,20260524T084754Z
medium,hdd,mixed,4,512K,2881.5885,3001.6130000000003,-3.9986667168619148,16.08150393847872,105.93043377673689,-84.81880667800084,100.0,1.96,1.96,0,yes,1,dynamic,524288,524288,20260524T084754Z
medium,hdd,mixed,8,128K,6203.3155,6231.919,-0.45898382183722486,114.56645802206089,112.45363358997203,1.8788405182109353,0.0,1.88,1.88,0,yes,1,dynamic,524288,524288,20260524T084754Z
