profile,jobs,recordsize,src_coalesce,mode,iters,sha_ok_all,elapsed_ms,latency_avg_ms,write_bw_mib_s,cpu_active_s_per_gib,cpu_system_s_per_gib,compressratio,qat_byte_share_pct,qat_completion_share_pct,qat_fallback_share_pct,qat_cap_skip_share_pct,qat_service_ns_per_mib,qat_wait_ns_per_mib,qat_setup_ns_per_req,qat_submit_ns_per_req,qat_wait_ns_per_req,qat_cleanup_ns_per_req,qat_page_array_alloc_ns_per_req,qat_page_array_free_ns_per_req,qat_buffer_list_alloc_ns_per_req,qat_buffer_list_free_ns_per_req,qat_req_alloc_ns_per_req,qat_req_free_ns_per_req,qat_src_buffers_per_req,qat_dst_total_buffers_per_req,qat_bound_bytes_per_req,qat_scratch_bytes_per_req,dc_compress_coalesce_requests_delta,dc_compress_coalesce_success_delta,dc_compress_coalesce_fails_delta,dc_compress_coalesce_bytes_delta,dc_compress_coalesce_alloc_ns_delta,dc_compress_coalesce_copy_ns_delta,dc_compress_coalesce_free_ns_delta,comp_requests_delta,comp_in_delta,dc_fails_delta,dc_compress_submit_fails_delta,dc_compress_async_submits_delta,dc_compress_async_completions_delta,dc_compress_async_cap_skips_delta,coalesce_alloc_ns_per_req,coalesce_copy_ns_per_req,coalesce_free_ns_per_req,coalesce_bytes_per_req
async,4,256K,1,qat,2,yes,1148.153000,,636.795000,9.516075,9.464952,,52.130000,52.120000,47.880000,47.880000,49247430.500000,47444258.000000,418027.090000,17566.499500,11861064.444500,15199.533500,4466.933500,4210.086000,0.000000,0.000000,1581.869000,732.129500,1.000000,73.000000,294967.000000,65593.000000,1522.000000,1522.000000,0.000000,398983168.000000,162775110.000000,427002875.000000,13145150.000000,1522.000000,398983168.000000,0.000000,,2920.000000,1522.000000,1398.000000,106948.166886,280553.794350,8636.760841,262144.000000
async,4,256K,1,sw,2,yes,981.304500,,743.940000,12.067873,12.006304,,0.000000,,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,,,,
async,4,512K,0,qat,2,yes,931.853000,,783.320000,7.671385,7.621149,,47.095000,47.090000,52.910000,52.910000,20285267.500000,20167087.500000,33330.530500,21973.649000,10083543.737000,3785.657000,2454.454000,2059.771000,0.000000,0.000000,612.927000,330.808500,128.000000,145.000000,589879.000000,131129.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,687.500000,360448000.000000,0.000000,,1460.000000,687.500000,772.500000,,,,
async,4,512K,0,sw,2,yes,977.684500,,749.465000,10.954776,10.897991,,0.000000,,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,,,,
async,4,512K,1,qat,2,yes,954.553000,,765.240000,8.783226,8.732036,,49.730000,49.725000,50.275000,50.275000,23029445.500000,21606520.000000,672330.540000,22703.292500,10803260.166000,16428.825500,4657.837000,3935.173000,0.000000,0.000000,1282.350000,594.311500,1.000000,145.000000,589879.000000,131129.000000,726.000000,726.000000,0.000000,380633088.000000,136214145.000000,329313630.000000,7095815.000000,726.000000,380633088.000000,0.000000,,1460.000000,726.000000,734.000000,187622.789256,453600.041322,9773.849862,524288.000000
async,4,512K,1,sw,2,yes,1008.099000,,724.115000,11.565065,11.492656,,0.000000,,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,,,,
async,4,1M,0,qat,2,yes,896.258000,,815.030000,5.446764,5.371310,,77.265000,77.050000,22.950000,22.950000,32611943.000000,32509684.000000,59343.395000,38447.202500,32509684.152500,4468.543000,3356.318500,2264.073500,0.000000,0.000000,661.174000,479.170500,256.000000,289.000000,1179703.000000,262201.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,564.000000,591396864.000000,0.000000,,732.000000,564.000000,168.000000,,,,
async,4,1M,0,sw,2,yes,961.160500,,759.655000,11.046672,10.956884,,0.000000,,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,,,,
async,4,1M,1,qat,2,yes,905.383000,,808.040000,6.038614,5.972421,,88.500000,88.250000,11.750000,11.750000,30727636.000000,29397398.000000,1284380.311500,26944.264000,29397397.799000,18913.669000,6287.304000,3585.238000,0.000000,0.000000,1250.026500,737.991000,1.000000,289.000000,1179703.000000,262201.000000,646.000000,646.000000,0.000000,677380096.000000,217169900.000000,573887615.000000,8428895.000000,646.000000,677380096.000000,0.000000,,732.000000,646.000000,86.000000,336176.315789,888370.921053,13047.825077,1048576.000000
async,4,1M,1,sw,2,yes,911.109000,,801.235000,11.258030,11.204724,,0.000000,,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,,,,
